ID	Gene Name	Species	GOTERM_BP_DIRECT
KIT	KIT proto-oncogene receptor tyrosine kinase(KIT)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000187~activation of MAPK activity,GO:0001541~ovarian follicle development,GO:0002318~myeloid progenitor cell differentiation,GO:0002320~lymphoid progenitor cell differentiation,GO:0002327~immature B cell differentiation,GO:0002371~dendritic cell cytokine production,GO:0002551~mast cell chemotaxis,GO:0006687~glycosphingolipid metabolic process,GO:0006954~inflammatory response,GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007283~spermatogenesis,GO:0007286~spermatid development,GO:0008284~positive regulation of cell proliferation,GO:0008354~germ cell migration,GO:0008360~regulation of cell shape,GO:0008542~visual learning,GO:0008584~male gonad development,GO:0010628~positive regulation of gene expression,GO:0010863~positive regulation of phospholipase C activity,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0019221~cytokine-mediated signaling pathway,GO:0019827~stem cell population maintenance,GO:0030032~lamellipodium assembly,GO:0030097~hemopoiesis,GO:0030217~T cell differentiation,GO:0030218~erythrocyte differentiation,GO:0030318~melanocyte differentiation,GO:0030335~positive regulation of cell migration,GO:0031274~positive regulation of pseudopodium assembly,GO:0031532~actin cytoskeleton reorganization,GO:0032762~mast cell cytokine production,GO:0035019~somatic stem cell population maintenance,GO:0035162~embryonic hemopoiesis,GO:0035234~ectopic germ cell programmed cell death,GO:0035556~intracellular signal transduction,GO:0035701~hematopoietic stem cell migration,GO:0035855~megakaryocyte development,GO:0038093~Fc receptor signaling pathway,GO:0038109~Kit signaling pathway,GO:0038162~erythropoietin-mediated signaling pathway,GO:0042127~regulation of cell proliferation,GO:0042511~positive regulation of tyrosine phosphorylation of Stat1 protein,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0042523~positive regulation of tyrosine phosphorylation of Stat5 protein,GO:0043069~negative regulation of programmed cell death,GO:0043303~mast cell degranulation,GO:0043406~positive regulation of MAP kinase activity,GO:0043410~positive regulation of MAPK cascade,GO:0043473~pigmentation,GO:0043547~positive regulation of GTPase activity,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045747~positive regulation of Notch signaling pathway,GO:0046427~positive regulation of JAK-STAT cascade,GO:0046777~protein autophosphorylation,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0048070~regulation of developmental pigmentation,GO:0048103~somatic stem cell division,GO:0048170~positive regulation of long-term neuronal synaptic plasticity,GO:0048565~digestive tract development,GO:0048863~stem cell differentiation,GO:0050673~epithelial cell proliferation,GO:0050910~detection of mechanical stimulus involved in sensory perception of sound,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0060326~cell chemotaxis,GO:0060374~mast cell differentiation,GO:0070662~mast cell proliferation,GO:0097067~cellular response to thyroid hormone stimulus,GO:0097324~melanocyte migration,GO:0097326~melanocyte adhesion,GO:1905065~positive regulation of vascular smooth muscle cell differentiation,
L1CAM	L1 cell adhesion molecule(L1CAM)	Homo sapiens	GO:0006935~chemotaxis,GO:0007155~cell adhesion,GO:0007399~nervous system development,GO:0007411~axon guidance,GO:0045773~positive regulation of axon extension,GO:0050900~leukocyte migration,
LMO3	LIM domain only 3(LMO3)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0035360~positive regulation of peroxisome proliferator activated receptor signaling pathway,GO:0045600~positive regulation of fat cell differentiation,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:2000324~positive regulation of glucocorticoid receptor signaling pathway,
LHX1	LIM homeobox 1(LHX1)	Homo sapiens	GO:0001655~urogenital system development,GO:0001657~ureteric bud development,GO:0001658~branching involved in ureteric bud morphogenesis,GO:0001702~gastrulation with mouth forming second,GO:0001705~ectoderm formation,GO:0001706~endoderm formation,GO:0001822~kidney development,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0007267~cell-cell signaling,GO:0007389~pattern specification process,GO:0007399~nervous system development,GO:0008045~motor neuron axon guidance,GO:0009653~anatomical structure morphogenesis,GO:0009791~post-embryonic development,GO:0009880~embryonic pattern specification,GO:0009887~organ morphogenesis,GO:0009948~anterior/posterior axis specification,GO:0009952~anterior/posterior pattern specification,GO:0009953~dorsal/ventral pattern formation,GO:0010468~regulation of gene expression,GO:0010842~retina layer formation,GO:0021517~ventral spinal cord development,GO:0021527~spinal cord association neuron differentiation,GO:0021537~telencephalon development,GO:0021549~cerebellum development,GO:0021702~cerebellar Purkinje cell differentiation,GO:0021871~forebrain regionalization,GO:0021937~cerebellar Purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation,GO:0032525~somite rostral/caudal axis specification,GO:0035502~metanephric part of ureteric bud development,GO:0035846~oviduct epithelium development,GO:0035847~uterine epithelium development,GO:0035849~nephric duct elongation,GO:0035852~horizontal cell localization,GO:0040019~positive regulation of embryonic development,GO:0044344~cellular response to fibroblast growth factor stimulus,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048646~anatomical structure formation involved in morphogenesis,GO:0048703~embryonic viscerocranium morphogenesis,GO:0048793~pronephros development,GO:0060059~embryonic retina morphogenesis in camera-type eye,GO:0060065~uterus development,GO:0060066~oviduct development,GO:0060067~cervix development,GO:0060068~vagina development,GO:0060322~head development,GO:0060429~epithelium development,GO:0061205~paramesonephric duct development,GO:0072049~comma-shaped body morphogenesis,GO:0072050~S-shaped body morphogenesis,GO:0072077~renal vesicle morphogenesis,GO:0072177~mesonephric duct development,GO:0072178~nephric duct morphogenesis,GO:0072224~metanephric glomerulus development,GO:0072278~metanephric comma-shaped body morphogenesis,GO:0072283~metanephric renal vesicle morphogenesis,GO:0072284~metanephric S-shaped body morphogenesis,GO:0090009~primitive streak formation,GO:0090190~positive regulation of branching involved in ureteric bud morphogenesis,GO:0097477~lateral motor column neuron migration,GO:2000543~positive regulation of gastrulation,GO:2000744~positive regulation of anterior head development,GO:2000768~positive regulation of nephron tubule epithelial cell differentiation,
LMX1B	LIM homeobox transcription factor 1 beta(LMX1B)	Homo sapiens	GO:0001701~in utero embryonic development,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007275~multicellular organism development,GO:0009953~dorsal/ventral pattern formation,GO:0030182~neuron differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0071542~dopaminergic neuron differentiation,
MAFA	MAF bZIP transcription factor A(MAFA)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007263~nitric oxide mediated signal transduction,GO:0009749~response to glucose,GO:0030073~insulin secretion,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
NDST3	N-deacetylase and N-sulfotransferase 3(NDST3)	Homo sapiens	GO:0015012~heparan sulfate proteoglycan biosynthetic process,GO:0030210~heparin biosynthetic process,
NIPAL1	NIPA like domain containing 1(NIPAL1)	Homo sapiens	GO:0015693~magnesium ion transport,GO:1903830~magnesium ion transmembrane transport,
NKX6-2	NK6 homeobox 2(NKX6-2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006355~regulation of transcription, DNA-templated,GO:0010454~negative regulation of cell fate commitment,GO:0010455~positive regulation of cell fate commitment,GO:0021912~regulation of transcription from RNA polymerase II promoter involved in spinal cord motor neuron fate specification,GO:0021913~regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification,GO:0022010~central nervous system myelination,GO:0031018~endocrine pancreas development,GO:0045686~negative regulation of glial cell differentiation,GO:0045687~positive regulation of glial cell differentiation,GO:0050885~neuromuscular process controlling balance,
NOTUM	NOTUM, palmitoleoyl-protein carboxylesterase(NOTUM)	Homo sapiens	GO:0016055~Wnt signaling pathway,GO:0030178~negative regulation of Wnt signaling pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:1990697~protein depalmitoleylation,
NPHS1	NPHS1, nephrin(NPHS1)	Homo sapiens	GO:0007155~cell adhesion,GO:0007254~JNK cascade,GO:0007519~skeletal muscle tissue development,GO:0007520~myoblast fusion,GO:0007588~excretion,GO:0030838~positive regulation of actin filament polymerization,GO:0032836~glomerular basement membrane development,GO:0035418~protein localization to synapse,GO:0044062~regulation of excretion,GO:0072015~glomerular visceral epithelial cell development,
NPHS2	NPHS2, podocin(NPHS2)	Homo sapiens	GO:0007588~excretion,GO:0031532~actin cytoskeleton reorganization,GO:0072249~metanephric glomerular visceral epithelial cell development,
NRK	Nik related kinase(NRK)	Homo sapiens	GO:0007256~activation of JNKK activity,GO:0007567~parturition,GO:0008285~negative regulation of cell proliferation,GO:0060721~regulation of spongiotrophoblast cell proliferation,
PACRG	PARK2 coregulated(PACRG)	Homo sapiens	GO:0007286~spermatid development,GO:0034620~cellular response to unfolded protein,GO:0060548~negative regulation of cell death,
PHF21B	PHD finger protein 21B(PHF21B)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,
POU3F4	POU class 3 homeobox 4(POU3F4)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007605~sensory perception of sound,GO:0021879~forebrain neuron differentiation,GO:0090103~cochlea morphogenesis,GO:2001054~negative regulation of mesenchymal cell apoptotic process,
RSPO1	R-spondin 1(RSPO1)	Homo sapiens	GO:0001934~positive regulation of protein phosphorylation,GO:0002090~regulation of receptor internalization,GO:0016055~Wnt signaling pathway,GO:0030177~positive regulation of Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
RANBP3L	RAN binding protein 3 like(RANBP3L)	Homo sapiens	GO:0046827~positive regulation of protein export from nucleus,GO:0046907~intracellular transport,
RASL11B	RAS like family 11 member B(RASL11B)	Homo sapiens	GO:0007264~small GTPase mediated signal transduction,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,
RIMBP2	RIMS binding protein 2(RIMBP2)	Homo sapiens	GO:0010923~negative regulation of phosphatase activity,
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)	Homo sapiens	GO:0002066~columnar/cuboidal epithelial cell development,GO:0006468~protein phosphorylation,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007283~spermatogenesis,GO:0008283~cell proliferation,GO:0010629~negative regulation of gene expression,GO:0010966~regulation of phosphate transport,GO:0016049~cell growth,GO:0023014~signal transduction by protein phosphorylation,GO:0030154~cell differentiation,GO:0032006~regulation of TOR signaling,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0070372~regulation of ERK1 and ERK2 cascade,
RHBG	Rh family B glycoprotein (gene/pseudogene)(RHBG)	Homo sapiens	GO:0015695~organic cation transport,GO:0015696~ammonium transport,GO:0019740~nitrogen utilization,GO:0070634~transepithelial ammonium transport,GO:0072488~ammonium transmembrane transport,
RHCG	Rh family C glycoprotein(RHCG)	Homo sapiens	GO:0006873~cellular ion homeostasis,GO:0006885~regulation of pH,GO:0015695~organic cation transport,GO:0015696~ammonium transport,GO:0015837~amine transport,GO:0019740~nitrogen utilization,GO:0030855~epithelial cell differentiation,GO:0042592~homeostatic process,GO:0070634~transepithelial ammonium transport,GO:0072488~ammonium transmembrane transport,
S100A2	S100 calcium binding protein A2(S100A2)	Homo sapiens	GO:0043542~endothelial cell migration,
SLITRK6	SLIT and NTRK like family member 6(SLITRK6)	Homo sapiens	GO:0001964~startle response,GO:0002088~lens development in camera-type eye,GO:0002093~auditory receptor cell morphogenesis,GO:0007409~axonogenesis,GO:0007416~synapse assembly,GO:0007601~visual perception,GO:0007605~sensory perception of sound,GO:0008344~adult locomotory behavior,GO:0021562~vestibulocochlear nerve development,GO:0031223~auditory behavior,GO:0035264~multicellular organism growth,GO:0051965~positive regulation of synapse assembly,GO:0060007~linear vestibuloocular reflex,GO:0060384~innervation,GO:0090102~cochlea development,
SMOC1	SPARC related modular calcium binding 1(SMOC1)	Homo sapiens	GO:0001654~eye development,GO:0007165~signal transduction,GO:0030154~cell differentiation,GO:0045667~regulation of osteoblast differentiation,GO:0060173~limb development,
ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)	Homo sapiens	GO:0001574~ganglioside biosynthetic process,GO:0006486~protein glycosylation,GO:0006688~glycosphingolipid biosynthetic process,GO:0009311~oligosaccharide metabolic process,GO:0009312~oligosaccharide biosynthetic process,GO:0018279~protein N-linked glycosylation via asparagine,GO:0097503~sialylation,
ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5(ST8SIA5)	Homo sapiens	GO:0005975~carbohydrate metabolic process,GO:0006486~protein glycosylation,GO:0006688~glycosphingolipid biosynthetic process,GO:0097503~sialylation,
SP7	Sp7 transcription factor(SP7)	Homo sapiens	GO:0001649~osteoblast differentiation,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060218~hematopoietic stem cell differentiation,GO:2000738~positive regulation of stem cell differentiation,
TNFAIP8L3	TNF alpha induced protein 8 like 3(TNFAIP8L3)	Homo sapiens	GO:0015914~phospholipid transport,GO:0019216~regulation of lipid metabolic process,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0048017~inositol lipid-mediated signaling,GO:0051897~positive regulation of protein kinase B signaling,GO:0070374~positive regulation of ERK1 and ERK2 cascade,
UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus(UGT2A1)	Homo sapiens	GO:0007608~sensory perception of smell,GO:0008152~metabolic process,GO:0009593~detection of chemical stimulus,GO:0009813~flavonoid biosynthetic process,GO:0052695~cellular glucuronidation,GO:0052696~flavonoid glucuronidation,
UGT3A2	UDP glycosyltransferase family 3 member A2(UGT3A2)	Homo sapiens	GO:0008152~metabolic process,GO:0009813~flavonoid biosynthetic process,GO:0052696~flavonoid glucuronidation,GO:0071412~cellular response to genistein,
UNCX	UNC homeobox(UNCX)	Homo sapiens	GO:0001502~cartilage condensation,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007389~pattern specification process,GO:0021516~dorsal spinal cord development,GO:0021889~olfactory bulb interneuron differentiation,GO:0035726~common myeloid progenitor cell proliferation,GO:0045595~regulation of cell differentiation,
