ID	Gene Name	Species	KEGG_PATHWAY
WNT7A	Wnt family member 7A(WNT7A)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT7B	Wnt family member 7B(WNT7B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT8B	Wnt family member 8B(WNT8B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
WNT9B	Wnt family member 9B(WNT9B)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04916:Melanogenesis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05217:Basal cell carcinoma,
XPNPEP2	X-prolyl aminopeptidase 2(XPNPEP2)	Homo sapiens	hsa04974:Protein digestion and absorption,
ACOT12	acyl-CoA thioesterase 12(ACOT12)	Homo sapiens	hsa00620:Pyruvate metabolism,
AGXT	alanine-glyoxylate aminotransferase(AGXT)	Homo sapiens	hsa00250:Alanine, aspartate and glutamate metabolism,hsa00260:Glycine, serine and threonine metabolism,hsa00630:Glyoxylate and dicarboxylate metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,hsa04146:Peroxisome,
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	hsa00010:Glycolysis / Gluconeogenesis,hsa00071:Fatty acid degradation,hsa00350:Tyrosine metabolism,hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens	hsa00010:Glycolysis / Gluconeogenesis,hsa00071:Fatty acid degradation,hsa00350:Tyrosine metabolism,hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens	hsa00010:Glycolysis / Gluconeogenesis,hsa00071:Fatty acid degradation,hsa00350:Tyrosine metabolism,hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
ALDH3B2	aldehyde dehydrogenase 3 family member B2(ALDH3B2)	Homo sapiens	hsa00010:Glycolysis / Gluconeogenesis,hsa00340:Histidine metabolism,hsa00350:Tyrosine metabolism,hsa00360:Phenylalanine metabolism,hsa00410:beta-Alanine metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
AKR1D1	aldo-keto reductase family 1 member D1(AKR1D1)	Homo sapiens	hsa00120:Primary bile acid biosynthesis,hsa00140:Steroid hormone biosynthesis,hsa01100:Metabolic pathways,
ALDOB	aldolase, fructose-bisphosphate B(ALDOB)	Homo sapiens	hsa00010:Glycolysis / Gluconeogenesis,hsa00030:Pentose phosphate pathway,hsa00051:Fructose and mannose metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,hsa01230:Biosynthesis of amino acids,
AMPH	amphiphysin(AMPH)	Homo sapiens	hsa04144:Endocytosis,hsa04666:Fc gamma R-mediated phagocytosis,
APOA2	apolipoprotein A2(APOA2)	Homo sapiens	hsa03320:PPAR signaling pathway,
AQP2	aquaporin 2(AQP2)	Homo sapiens	hsa04962:Vasopressin-regulated water reabsorption,
AQP5	aquaporin 5(AQP5)	Homo sapiens	hsa04970:Salivary secretion,
AVPR2	arginine vasopressin receptor 2(AVPR2)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04962:Vasopressin-regulated water reabsorption,
BMP7	bone morphogenetic protein 7(BMP7)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,
BMPR1B	bone morphogenetic protein receptor type 1B(BMPR1B)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
CDH3	cadherin 3(CDH3)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),
CALB1	calbindin 1(CALB1)	Homo sapiens	hsa04961:Endocrine and other factor-regulated calcium reabsorption,
CACNA1S	calcium voltage-gated channel subunit alpha1 S(CACNA1S)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04270:Vascular smooth muscle contraction,hsa04723:Retrograde endocannabinoid signaling,hsa04725:Cholinergic synapse,hsa04726:Serotonergic synapse,hsa04727:GABAergic synapse,hsa04911:Insulin secretion,hsa04912:GnRH signaling pathway,hsa04921:Oxytocin signaling pathway,hsa04924:Renin secretion,hsa04925:Aldosterone synthesis and secretion,hsa05010:Alzheimer's disease,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC),hsa05414:Dilated cardiomyopathy,
CAMK2A	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04114:Oocyte meiosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04310:Wnt signaling pathway,hsa04713:Circadian entrainment,hsa04720:Long-term potentiation,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04740:Olfactory transduction,hsa04750:Inflammatory mediator regulation of TRP channels,hsa04911:Insulin secretion,hsa04912:GnRH signaling pathway,hsa04916:Melanogenesis,hsa04921:Oxytocin signaling pathway,hsa04922:Glucagon signaling pathway,hsa04925:Aldosterone synthesis and secretion,hsa04971:Gastric acid secretion,hsa05031:Amphetamine addiction,hsa05152:Tuberculosis,hsa05205:Proteoglycans in cancer,hsa05214:Glioma,
CALML3	calmodulin like 3(CALML3)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04070:Phosphatidylinositol signaling system,hsa04114:Oocyte meiosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04270:Vascular smooth muscle contraction,hsa04713:Circadian entrainment,hsa04720:Long-term potentiation,hsa04722:Neurotrophin signaling pathway,hsa04728:Dopaminergic synapse,hsa04740:Olfactory transduction,hsa04744:Phototransduction,hsa04750:Inflammatory mediator regulation of TRP channels,hsa04910:Insulin signaling pathway,hsa04912:GnRH signaling pathway,hsa04915:Estrogen signaling pathway,hsa04916:Melanogenesis,hsa04921:Oxytocin signaling pathway,hsa04922:Glucagon signaling pathway,hsa04924:Renin secretion,hsa04925:Aldosterone synthesis and secretion,hsa04970:Salivary secretion,hsa04971:Gastric acid secretion,hsa05010:Alzheimer's disease,hsa05031:Amphetamine addiction,hsa05034:Alcoholism,hsa05133:Pertussis,hsa05152:Tuberculosis,hsa05214:Glioma,
CAPZA3	capping actin protein of muscle Z-line alpha subunit 3(CAPZA3)	Homo sapiens	hsa04144:Endocytosis,
CA1	carbonic anhydrase 1(CA1)	Homo sapiens	hsa00910:Nitrogen metabolism,
CA8	carbonic anhydrase 8(CA8)	Homo sapiens	hsa00910:Nitrogen metabolism,
CPA1	carboxypeptidase A1(CPA1)	Homo sapiens	hsa04972:Pancreatic secretion,hsa04974:Protein digestion and absorption,
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit(CHRNA1)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit(CHRNA4)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04725:Cholinergic synapse,hsa05033:Nicotine addiction,
CLDN14	claudin 14(CLDN14)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa05160:Hepatitis C,
CLDN16	claudin 16(CLDN16)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa05160:Hepatitis C,
CLDN19	claudin 19(CLDN19)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa05160:Hepatitis C,
CLDN8	claudin 8(CLDN8)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa05160:Hepatitis C,
F11	coagulation factor XI(F11)	Homo sapiens	hsa04610:Complement and coagulation cascades,
COL4A6	collagen type IV alpha 6 chain(COL4A6)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04974:Protein digestion and absorption,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,
CR2	complement C3d receptor 2(CR2)	Homo sapiens	hsa04610:Complement and coagulation cascades,hsa04640:Hematopoietic cell lineage,hsa04662:B cell receptor signaling pathway,hsa05169:Epstein-Barr virus infection,
C7	complement C7(C7)	Homo sapiens	hsa04610:Complement and coagulation cascades,hsa05020:Prion diseases,hsa05322:Systemic lupus erythematosus,
C4BPB	complement component 4 binding protein beta(C4BPB)	Homo sapiens	hsa04610:Complement and coagulation cascades,hsa05133:Pertussis,
CNTN1	contactin 1(CNTN1)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),
CRB2	crumbs 2, cell polarity complex component(CRB2)	Homo sapiens	hsa04390:Hippo signaling pathway,
CRYAA	crystallin alpha A(CRYAA)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
CST1	cystatin SN(CST1)	Homo sapiens	hsa04970:Salivary secretion,
CYP1A1	cytochrome P450 family 1 subfamily A member 1(CYP1A1)	Homo sapiens	hsa00140:Steroid hormone biosynthesis,hsa00380:Tryptophan metabolism,hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa01100:Metabolic pathways,hsa04913:Ovarian steroidogenesis,hsa05204:Chemical carcinogenesis,
CYP1A2	cytochrome P450 family 1 subfamily A member 2(CYP1A2)	Homo sapiens	hsa00140:Steroid hormone biosynthesis,hsa00232:Caffeine metabolism,hsa00380:Tryptophan metabolism,hsa00591:Linoleic acid metabolism,hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
CYP17A1	cytochrome P450 family 17 subfamily A member 1(CYP17A1)	Homo sapiens	hsa00140:Steroid hormone biosynthesis,hsa01100:Metabolic pathways,hsa04913:Ovarian steroidogenesis,hsa04917:Prolactin signaling pathway,
CYP2B6	cytochrome P450 family 2 subfamily B member 6(CYP2B6)	Homo sapiens	hsa00590:Arachidonic acid metabolism,hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa01100:Metabolic pathways,
CYP27B1	cytochrome P450 family 27 subfamily B member 1(CYP27B1)	Homo sapiens	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,hsa05152:Tuberculosis,
CYP4F2	cytochrome P450 family 4 subfamily F member 2(CYP4F2)	Homo sapiens	hsa00590:Arachidonic acid metabolism,hsa01100:Metabolic pathways,
DIO1	deiodinase, iodothyronine type I(DIO1)	Homo sapiens	hsa04919:Thyroid hormone signaling pathway,
DES	desmin(DES)	Homo sapiens	hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC),hsa05414:Dilated cardiomyopathy,
DUSP9	dual specificity phosphatase 9(DUSP9)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3(ENTPD3)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa05169:Epstein-Barr virus infection,
ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6(ENPP6)	Homo sapiens	hsa00565:Ether lipid metabolism,
EGF	epidermal growth factor(EGF)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04540:Gap junction,hsa04810:Regulation of actin cytoskeleton,hsa05160:Hepatitis C,hsa05200:Pathways in cancer,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05223:Non-small cell lung cancer,hsa05231:Choline metabolism in cancer,
ESRRB	estrogen related receptor beta(ESRRB)	Homo sapiens	hsa04550:Signaling pathways regulating pluripotency of stem cells,
EEF1A2	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)	Homo sapiens	hsa03013:RNA transport,hsa05134:Legionellosis,
FABP1	fatty acid binding protein 1(FABP1)	Homo sapiens	hsa03320:PPAR signaling pathway,hsa04975:Fat digestion and absorption,
FGF1	fibroblast growth factor 1(FGF1)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04390:Hippo signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05200:Pathways in cancer,hsa05218:Melanoma,
FGF9	fibroblast growth factor 9(FGF9)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05200:Pathways in cancer,hsa05218:Melanoma,
FOLR3	folate receptor 3(FOLR3)	Homo sapiens	hsa04144:Endocytosis,
FOXA3	forkhead box A3(FOXA3)	Homo sapiens	hsa04950:Maturity onset diabetes of the young,
FMN2	formin 2(FMN2)	Homo sapiens	hsa04320:Dorso-ventral axis formation,
FUT3	fucosyltransferase 3 (Lewis blood group)(FUT3)	Homo sapiens	hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series,hsa01100:Metabolic pathways,
FUT9	fucosyltransferase 9(FUT9)	Homo sapiens	hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series,hsa00603:Glycosphingolipid biosynthesis - globo series,hsa01100:Metabolic pathways,
GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit(GABRA2)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04723:Retrograde endocannabinoid signaling,hsa04727:GABAergic synapse,hsa05032:Morphine addiction,hsa05033:Nicotine addiction,
GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit(GABRA4)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04723:Retrograde endocannabinoid signaling,hsa04727:GABAergic synapse,hsa05032:Morphine addiction,hsa05033:Nicotine addiction,
GABRA5	gamma-aminobutyric acid type A receptor alpha5 subunit(GABRA5)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04723:Retrograde endocannabinoid signaling,hsa04727:GABAergic synapse,hsa05032:Morphine addiction,hsa05033:Nicotine addiction,
GABRG3	gamma-aminobutyric acid type A receptor gamma3 subunit(GABRG3)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04723:Retrograde endocannabinoid signaling,hsa04727:GABAergic synapse,hsa05032:Morphine addiction,hsa05033:Nicotine addiction,
GABRP	gamma-aminobutyric acid type A receptor pi subunit(GABRP)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04723:Retrograde endocannabinoid signaling,hsa04727:GABAergic synapse,hsa05032:Morphine addiction,hsa05033:Nicotine addiction,
G6PC	glucose-6-phosphatase catalytic subunit(G6PC)	Homo sapiens	hsa00010:Glycolysis / Gluconeogenesis,hsa00052:Galactose metabolism,hsa00500:Starch and sucrose metabolism,hsa01100:Metabolic pathways,hsa04068:FoxO signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04152:AMPK signaling pathway,hsa04910:Insulin signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04922:Glucagon signaling pathway,hsa04931:Insulin resistance,hsa04973:Carbohydrate digestion and absorption,
GADL1	glutamate decarboxylase like 1(GADL1)	Homo sapiens	hsa00410:beta-Alanine metabolism,hsa00430:Taurine and hypotaurine metabolism,hsa00770:Pantothenate and CoA biosynthesis,hsa01100:Metabolic pathways,
GRIK5	glutamate ionotropic receptor kainate type subunit 5(GRIK5)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04724:Glutamatergic synapse,
GRM1	glutamate metabotropic receptor 1(GRM1)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04068:FoxO signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04540:Gap junction,hsa04720:Long-term potentiation,hsa04723:Retrograde endocannabinoid signaling,hsa04724:Glutamatergic synapse,hsa04730:Long-term depression,hsa04915:Estrogen signaling pathway,
GPAT3	glycerol-3-phosphate acyltransferase 3(GPAT3)	Homo sapiens	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,
CGA	glycoprotein hormones, alpha polypeptide(CGA)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04912:GnRH signaling pathway,hsa04913:Ovarian steroidogenesis,hsa04917:Prolactin signaling pathway,hsa04918:Thyroid hormone synthesis,hsa04923:Regulation of lipolysis in adipocytes,hsa05320:Autoimmune thyroid disease,
GUCA1C	guanylate cyclase activator 1C(GUCA1C)	Homo sapiens	hsa04744:Phototransduction,
HSPA2	heat shock protein family A (Hsp70) member 2(HSPA2)	Homo sapiens	hsa03040:Spliceosome,hsa04010:MAPK signaling pathway,hsa04141:Protein processing in endoplasmic reticulum,hsa04144:Endocytosis,hsa04612:Antigen processing and presentation,hsa04915:Estrogen signaling pathway,hsa05134:Legionellosis,hsa05145:Toxoplasmosis,hsa05162:Measles,hsa05164:Influenza A,
HS6ST2	heparan sulfate 6-O-sulfotransferase 2(HS6ST2)	Homo sapiens	hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,
HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5(HS3ST5)	Homo sapiens	hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,
HIST1H4C	histone cluster 1 H4 family member c(HIST1H4C)	Homo sapiens	hsa05034:Alcoholism,hsa05203:Viral carcinogenesis,hsa05322:Systemic lupus erythematosus,
HAP1	huntingtin associated protein 1(HAP1)	Homo sapiens	hsa04727:GABAergic synapse,hsa05016:Huntington's disease,
HYAL4	hyaluronoglucosaminidase 4(HYAL4)	Homo sapiens	hsa00531:Glycosaminoglycan degradation,hsa01100:Metabolic pathways,
HCAR2	hydroxycarboxylic acid receptor 2(HCAR2)	Homo sapiens	hsa04024:cAMP signaling pathway,
HCN2	hyperpolarization activated cyclic nucleotide gated potassium channel 2(HCN2)	Homo sapiens	hsa04024:cAMP signaling pathway,
HCRTR2	hypocretin receptor 2(HCRTR2)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,
INPP5J	inositol polyphosphate-5-phosphatase J(INPP5J)	Homo sapiens	hsa00562:Inositol phosphate metabolism,hsa01100:Metabolic pathways,hsa04070:Phosphatidylinositol signaling system,
ITPKA	inositol-trisphosphate 3-kinase A(ITPKA)	Homo sapiens	hsa00562:Inositol phosphate metabolism,hsa01100:Metabolic pathways,hsa04020:Calcium signaling pathway,hsa04070:Phosphatidylinositol signaling system,
IGF2	insulin like growth factor 2(IGF2)	Homo sapiens	hsa05205:Proteoglycans in cancer,
INSRR	insulin receptor related receptor(INSRR)	Homo sapiens	hsa04810:Regulation of actin cytoskeleton,hsa05215:Prostate cancer,
ITGB6	integrin subunit beta 6(ITGB6)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04810:Regulation of actin cytoskeleton,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC),hsa05414:Dilated cardiomyopathy,
IFIT1B	interferon induced protein with tetratricopeptide repeats 1B(IFIT1B)	Homo sapiens	hsa05160:Hepatitis C,hsa05168:Herpes simplex infection,
IL11	interleukin 11(IL11)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04630:Jak-STAT signaling pathway,hsa04640:Hematopoietic cell lineage,hsa05323:Rheumatoid arthritis,
