ID	Gene Name	Species	GOTERM_CC_DIRECT
ATP6V0D2	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens	GO:0005765~lysosomal membrane,GO:0005769~early endosome,GO:0010008~endosome membrane,GO:0016020~membrane,GO:0016324~apical plasma membrane,GO:0016471~vacuolar proton-transporting V-type ATPase complex,GO:0030670~phagocytic vesicle membrane,GO:0033179~proton-transporting V-type ATPase, V0 domain,GO:0033181~plasma membrane proton-transporting V-type ATPase complex,GO:0070062~extracellular exosome,
ATP6V1G3	ATPase H+ transporting V1 subunit G3(ATP6V1G3)	Homo sapiens	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016471~vacuolar proton-transporting V-type ATPase complex,
ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A)	Homo sapiens	GO:0005886~plasma membrane,GO:0005889~hydrogen:potassium-exchanging ATPase complex,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0043231~intracellular membrane-bounded organelle,
ATP10B	ATPase phospholipid transporting 10B (putative)(ATP10B)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030659~cytoplasmic vesicle membrane,
BRINP1	BMP/retinoic acid inducible neural specific 1(BRINP1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0030425~dendrite,GO:0043025~neuronal cell body,
BRINP3	BMP/retinoic acid inducible neural specific 3(BRINP3)	Homo sapiens	GO:0005576~extracellular region,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0030425~dendrite,GO:0043025~neuronal cell body,
CCL11	C-C motif chemokine ligand 11(CCL11)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,
CCL21	C-C motif chemokine ligand 21(CCL21)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005623~cell,
CRP	C-reactive protein(CRP)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0070062~extracellular exosome,
C2CD4B	C2 calcium dependent domain containing 4B(C2CD4B)	Homo sapiens	GO:0005730~nucleolus,GO:0005886~plasma membrane,GO:0005925~focal adhesion,
CPAMD8	C3 and PZP like, alpha-2-macroglobulin domain containing 8(CPAMD8)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,
CASKIN1	CASK interacting protein 1(CASKIN1)	Homo sapiens	GO:0005737~cytoplasm,
DAB1	DAB1, reelin adaptor protein(DAB1)	Homo sapiens	GO:0005730~nucleolus,GO:0005815~microtubule organizing center,GO:0005829~cytosol,GO:0005903~brush border,GO:0014069~postsynaptic density,GO:0016020~membrane,GO:0043005~neuron projection,GO:0043025~neuronal cell body,GO:0043231~intracellular membrane-bounded organelle,GO:0045177~apical part of cell,GO:0048471~perinuclear region of cytoplasm,
ELF5	E74 like ETS transcription factor 5(ELF5)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
EPHA5	EPH receptor A5(EPHA5)	Homo sapiens	GO:0005791~rough endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005912~adherens junction,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0043025~neuronal cell body,GO:0048471~perinuclear region of cytoplasm,
EHF	ETS homologous factor(EHF)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005794~Golgi apparatus,
ETV4	ETS variant 4(ETV4)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,
EYA4	EYA transcriptional coactivator and phosphatase 4(EYA4)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
FRMPD4	FERM and PDZ domain containing 4(FRMPD4)	Homo sapiens	GO:0005856~cytoskeleton,GO:0043197~dendritic spine,
FRMD7	FERM domain containing 7(FRMD7)	Homo sapiens	GO:0005615~extracellular space,GO:0005856~cytoskeleton,GO:0030426~growth cone,GO:0043005~neuron projection,GO:0043025~neuronal cell body,
FRG2C	FSHD region gene 2 family member C(FRG2C)	Homo sapiens	GO:0005634~nucleus,
FXYD4	FXYD domain containing ion transport regulator 4(FXYD4)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,
GPR22	G protein-coupled receptor 22(GPR22)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
GC	GC, vitamin D binding protein(GC)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005829~cytosol,GO:0043202~lysosomal lumen,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
GCOM1	GRINL1A complex locus 1(GCOM1)	Homo sapiens	GO:0016591~DNA-directed RNA polymerase II, holoenzyme,GO:0030018~Z disc,GO:0030054~cell junction,GO:0030864~cortical actin cytoskeleton,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0031674~I band,
GSG1L	GSG1 like(GSG1L)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0032279~asymmetric synapse,
HMX2	H6 family homeobox 2(HMX2)	Homo sapiens	GO:0005634~nucleus,
KIAA1549L	KIAA1549 like(KIAA1549L)	Homo sapiens	GO:0016021~integral component of membrane,
KIT	KIT proto-oncogene receptor tyrosine kinase(KIT)	Homo sapiens	GO:0001669~acrosomal vesicle,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0009897~external side of plasma membrane,GO:0009898~cytoplasmic side of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0042629~mast cell granule,
L1CAM	L1 cell adhesion molecule(L1CAM)	Homo sapiens	GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0044295~axonal growth cone,
LMO3	LIM domain only 3(LMO3)	Homo sapiens	GO:0005737~cytoplasm,
LHX1	LIM homeobox 1(LHX1)	Homo sapiens	GO:0005634~nucleus,GO:0043234~protein complex,
LMX1B	LIM homeobox transcription factor 1 beta(LMX1B)	Homo sapiens	GO:0005634~nucleus,
LYPD6B	LY6/PLAUR domain containing 6B(LYPD6B)	Homo sapiens	GO:0005886~plasma membrane,GO:0031225~anchored component of membrane,
MAFA	MAF bZIP transcription factor A(MAFA)	Homo sapiens	GO:0005634~nucleus,
NAT8L	N-acetyltransferase 8 like(NAT8L)	Homo sapiens	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0016021~integral component of membrane,GO:0030867~rough endoplasmic reticulum membrane,GO:0031966~mitochondrial membrane,
NDST3	N-deacetylase and N-sulfotransferase 3(NDST3)	Homo sapiens	GO:0000139~Golgi membrane,GO:0016021~integral component of membrane,
NIPAL1	NIPA like domain containing 1(NIPAL1)	Homo sapiens	GO:0016020~membrane,GO:0016021~integral component of membrane,
NKX6-2	NK6 homeobox 2(NKX6-2)	Homo sapiens	GO:0005634~nucleus,
NOTUM	NOTUM, palmitoleoyl-protein carboxylesterase(NOTUM)	Homo sapiens	GO:0005576~extracellular region,
NPHS1	NPHS1, nephrin(NPHS1)	Homo sapiens	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0036057~slit diaphragm,GO:0042995~cell projection,GO:0070062~extracellular exosome,
NPHS2	NPHS2, podocin(NPHS2)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005911~cell-cell junction,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,GO:0036057~slit diaphragm,GO:0043234~protein complex,GO:0045121~membrane raft,GO:0070062~extracellular exosome,
NRK	Nik related kinase(NRK)	Homo sapiens	GO:0005737~cytoplasm,GO:0016021~integral component of membrane,
PACRG	PARK2 coregulated(PACRG)	Homo sapiens	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0016021~integral component of membrane,GO:0031982~vesicle,GO:0043005~neuron projection,GO:0044297~cell body,GO:0097225~sperm midpiece,
PHF21B	PHD finger protein 21B(PHF21B)	Homo sapiens	GO:0005634~nucleus,
POU3F4	POU class 3 homeobox 4(POU3F4)	Homo sapiens	GO:0005634~nucleus,
RSPO1	R-spondin 1(RSPO1)	Homo sapiens	GO:0005576~extracellular region,GO:0005634~nucleus,
RALYL	RALY RNA binding protein-like(RALYL)	Homo sapiens	GO:0005634~nucleus,
RANBP3L	RAN binding protein 3 like(RANBP3L)	Homo sapiens	GO:0005634~nucleus,GO:0005829~cytosol,
RASL11B	RAS like family 11 member B(RASL11B)	Homo sapiens	GO:0005622~intracellular,GO:0016020~membrane,
RIMBP2	RIMS binding protein 2(RIMBP2)	Homo sapiens	GO:0005886~plasma membrane,GO:0030054~cell junction,GO:0045202~synapse,
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)	Homo sapiens	GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0048471~perinuclear region of cytoplasm,
RHBG	Rh family B glycoprotein (gene/pseudogene)(RHBG)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0014731~spectrin-associated cytoskeleton,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0030659~cytoplasmic vesicle membrane,GO:0046658~anchored component of plasma membrane,
RHCG	Rh family C glycoprotein(RHCG)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0031410~cytoplasmic vesicle,GO:0070062~extracellular exosome,
SLITRK6	SLIT and NTRK like family member 6(SLITRK6)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,
SMOC1	SPARC related modular calcium binding 1(SMOC1)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0005604~basement membrane,
ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005794~Golgi apparatus,GO:0016021~integral component of membrane,
ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5(ST8SIA5)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005794~Golgi apparatus,GO:0016021~integral component of membrane,GO:0030173~integral component of Golgi membrane,
SP7	Sp7 transcription factor(SP7)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
TNFAIP8L3	TNF alpha induced protein 8 like 3(TNFAIP8L3)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,
UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus(UGT2A1)	Homo sapiens	GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,
UGT3A2	UDP glycosyltransferase family 3 member A2(UGT3A2)	Homo sapiens	GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,
UNCX	UNC homeobox(UNCX)	Homo sapiens	GO:0005634~nucleus,
VSTM2A	V-set and transmembrane domain containing 2A(VSTM2A)	Homo sapiens	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
VTCN1	V-set domain containing T cell activation inhibitor 1(VTCN1)	Homo sapiens	GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,
WFDC12	WAP four-disulfide core domain 12(WFDC12)	Homo sapiens	GO:0005576~extracellular region,
WFDC3	WAP four-disulfide core domain 3(WFDC3)	Homo sapiens	GO:0005576~extracellular region,
WNK4	WNK lysine deficient protein kinase 4(WNK4)	Homo sapiens	GO:0005829~cytosol,GO:0005923~bicellular tight junction,GO:0016020~membrane,
WSCD2	WSC domain containing 2(WSCD2)	Homo sapiens	GO:0016021~integral component of membrane,
WNT7A	Wnt family member 7A(WNT7A)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0005796~Golgi lumen,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0030666~endocytic vesicle membrane,GO:0070062~extracellular exosome,GO:0098793~presynapse,
WNT7B	Wnt family member 7B(WNT7B)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0005796~Golgi lumen,GO:0005886~plasma membrane,GO:0030666~endocytic vesicle membrane,GO:0070062~extracellular exosome,
WNT8B	Wnt family member 8B(WNT8B)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,
WNT9B	Wnt family member 9B(WNT9B)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,
XPNPEP2	X-prolyl aminopeptidase 2(XPNPEP2)	Homo sapiens	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0031225~anchored component of membrane,GO:0070062~extracellular exosome,
XKR4	XK related 4(XKR4)	Homo sapiens	GO:0016020~membrane,GO:0016021~integral component of membrane,
ACPP	acid phosphatase, prostate(ACPP)	Homo sapiens	GO:0005615~extracellular space,GO:0005622~intracellular,GO:0005634~nucleus,GO:0005765~lysosomal membrane,GO:0005886~plasma membrane,GO:0012506~vesicle membrane,GO:0016021~integral component of membrane,GO:0030175~filopodium,GO:0070062~extracellular exosome,
ACOT12	acyl-CoA thioesterase 12(ACOT12)	Homo sapiens	GO:0005829~cytosol,
ADGRA1	adhesion G protein-coupled receptor A1(ADGRA1)	Homo sapiens	GO:0016021~integral component of membrane,
ADGRF2	adhesion G protein-coupled receptor F2(ADGRF2)	Homo sapiens	GO:0016021~integral component of membrane,
ADGRF3	adhesion G protein-coupled receptor F3(ADGRF3)	Homo sapiens	GO:0016021~integral component of membrane,
AFM	afamin(AFM)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
AGXT	alanine-glyoxylate aminotransferase(AGXT)	Homo sapiens	GO:0005759~mitochondrial matrix,GO:0005777~peroxisome,GO:0005782~peroxisomal matrix,
ALB	albumin(ALB)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0031093~platelet alpha granule lumen,GO:0043209~myelin sheath,GO:0043234~protein complex,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	GO:0005829~cytosol,
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens	GO:0005829~cytosol,
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens	GO:0005829~cytosol,
ALDH3B2	aldehyde dehydrogenase 3 family member B2(ALDH3B2)	Homo sapiens	GO:0005811~lipid particle,
AKR1D1	aldo-keto reductase family 1 member D1(AKR1D1)	Homo sapiens	GO:0005829~cytosol,GO:0070062~extracellular exosome,
ALDOB	aldolase, fructose-bisphosphate B(ALDOB)	Homo sapiens	GO:0005815~microtubule organizing center,GO:0005829~cytosol,GO:0034451~centriolar satellite,GO:0070062~extracellular exosome,
AIF1L	allograft inflammatory factor 1 like(AIF1L)	Homo sapiens	GO:0005737~cytoplasm,GO:0005884~actin filament,GO:0005925~focal adhesion,GO:0015629~actin cytoskeleton,GO:0032587~ruffle membrane,GO:0043234~protein complex,GO:0070062~extracellular exosome,
AHSG	alpha 2-HS glycoprotein(AHSG)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031012~extracellular matrix,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
TTPA	alpha tocopherol transfer protein(TTPA)	Homo sapiens	GO:0005770~late endosome,GO:0005829~cytosol,
AMELX	amelogenin, X-linked(AMELX)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0009986~cell surface,
AMPH	amphiphysin(AMPH)	Homo sapiens	GO:0005737~cytoplasm,GO:0005802~trans-Golgi network,GO:0008021~synaptic vesicle,GO:0015629~actin cytoskeleton,GO:0030054~cell junction,GO:0030672~synaptic vesicle membrane,GO:0031256~leading edge membrane,
APCS	amyloid P component, serum(APCS)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
ASB15	ankyrin repeat and SOCS box containing 15(ASB15)	Homo sapiens	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005737~cytoplasm,
ASB5	ankyrin repeat and SOCS box containing 5(ASB5)	Homo sapiens	GO:0005622~intracellular,GO:0016021~integral component of membrane,
ANKRD1	ankyrin repeat domain 1(ANKRD1)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0030017~sarcomere,GO:0031674~I band,
ANKRD34B	ankyrin repeat domain 34B(ANKRD34B)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
APELA	apelin receptor early endogenous ligand(APELA)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016021~integral component of membrane,
APOA2	apolipoprotein A2(APOA2)	Homo sapiens	GO:0005576~extracellular region,GO:0005769~early endosome,GO:0005788~endoplasmic reticulum lumen,GO:0005829~cytosol,GO:0034361~very-low-density lipoprotein particle,GO:0034364~high-density lipoprotein particle,GO:0034366~spherical high-density lipoprotein particle,GO:0042627~chylomicron,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
AQP2	aquaporin 2(AQP2)	Homo sapiens	GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0030658~transport vesicle membrane,GO:0055037~recycling endosome,GO:0070062~extracellular exosome,
AQP5	aquaporin 5(AQP5)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005902~microvillus,GO:0009925~basal plasma membrane,GO:0016324~apical plasma membrane,GO:0070062~extracellular exosome,
AQP6	aquaporin 6(AQP6)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0030658~transport vesicle membrane,
AVPR2	arginine vasopressin receptor 2(AVPR2)	Homo sapiens	GO:0005768~endosome,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
ARMC4	armadillo repeat containing 4(ARMC4)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005930~axoneme,GO:0097546~ciliary base,
ARSI	arylsulfatase family member I(ARSI)	Homo sapiens	GO:0005576~extracellular region,GO:0005788~endoplasmic reticulum lumen,
ASTN1	astrotactin 1(ASTN1)	Homo sapiens	GO:0005768~endosome,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0030136~clathrin-coated vesicle,GO:0043204~perikaryon,
B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2(B4GALNT2)	Homo sapiens	GO:0016021~integral component of membrane,GO:0030173~integral component of Golgi membrane,
BMP7	bone morphogenetic protein 7(BMP7)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031012~extracellular matrix,GO:0031988~membrane-bounded vesicle,
BMPR1B	bone morphogenetic protein receptor type 1B(BMPR1B)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030425~dendrite,GO:0043025~neuronal cell body,GO:0043235~receptor complex,GO:1990712~HFE-transferrin receptor complex,
BCHE	butyrylcholinesterase(BCHE)	Homo sapiens	GO:0005576~extracellular region,GO:0005641~nuclear envelope lumen,GO:0005788~endoplasmic reticulum lumen,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0072562~blood microparticle,
CDH19	cadherin 19(CDH19)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
CDH3	cadherin 3(CDH3)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005913~cell-cell adherens junction,GO:0016020~membrane,GO:0016021~integral component of membrane,
CALB1	calbindin 1(CALB1)	Homo sapiens	GO:0005634~nucleus,GO:0005829~cytosol,GO:0030424~axon,GO:0030425~dendrite,GO:0043025~neuronal cell body,GO:0043195~terminal bouton,GO:0045202~synapse,GO:0070062~extracellular exosome,
CHP2	calcineurin like EF-hand protein 2(CHP2)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,
CALCA	calcitonin related polypeptide alpha(CALCA)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0043025~neuronal cell body,GO:0043195~terminal bouton,
CASR	calcium sensing receptor(CASR)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
CACNA1S	calcium voltage-gated channel subunit alpha1 S(CACNA1S)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005891~voltage-gated calcium channel complex,GO:0030315~T-tubule,GO:0031674~I band,
CAMK2A	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0014069~postsynaptic density,GO:0030054~cell junction,GO:0030666~endocytic vesicle membrane,GO:0042734~presynaptic membrane,
CALML3	calmodulin like 3(CALML3)	Homo sapiens	GO:0070062~extracellular exosome,
CLSTN2	calsyntenin 2(CLSTN2)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0009986~cell surface,GO:0014069~postsynaptic density,GO:0016021~integral component of membrane,GO:0045211~postsynaptic membrane,
CAPZA3	capping actin protein of muscle Z-line alpha subunit 3(CAPZA3)	Homo sapiens	GO:0001669~acrosomal vesicle,GO:0005634~nucleus,GO:0008290~F-actin capping protein complex,GO:0016020~membrane,GO:0030863~cortical cytoskeleton,
CA1	carbonic anhydrase 1(CA1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,
CA8	carbonic anhydrase 8(CA8)	Homo sapiens	GO:0005737~cytoplasm,
CES5A	carboxylesterase 5A(CES5A)	Homo sapiens	GO:0005615~extracellular space,GO:0016021~integral component of membrane,
CPA1	carboxypeptidase A1(CPA1)	Homo sapiens	GO:0005615~extracellular space,
CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7(CEACAM7)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031225~anchored component of membrane,
CASP14	caspase 14(CASP14)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0031012~extracellular matrix,GO:0045095~keratin filament,GO:0070062~extracellular exosome,
CHL1	cell adhesion molecule L1 like(CHL1)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030425~dendrite,GO:0045177~apical part of cell,GO:0070062~extracellular exosome,
CEND1	cell cycle exit and neuronal differentiation 1(CEND1)	Homo sapiens	GO:0016021~integral component of membrane,
CIDEA	cell death-inducing DFFA-like effector a(CIDEA)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005740~mitochondrial envelope,GO:0005811~lipid particle,
CRABP1	cellular retinoic acid binding protein 1(CRABP1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,
CBLN2	cerebellin 2 precursor(CBLN2)	Homo sapiens	GO:0005615~extracellular space,
CLIC5	chloride intracellular channel 5(CLIC5)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005815~microtubule organizing center,GO:0005938~cell cortex,GO:0015629~actin cytoskeleton,GO:0032420~stereocilium,GO:0034707~chloride channel complex,GO:0070062~extracellular exosome,
CLCNKA	chloride voltage-gated channel Ka(CLCNKA)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0034707~chloride channel complex,
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit(CHRNA1)	Homo sapiens	GO:0005886~plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0031594~neuromuscular junction,GO:0045211~postsynaptic membrane,
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit(CHRNA4)	Homo sapiens	GO:0005886~plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0009897~external side of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030425~dendrite,GO:0043025~neuronal cell body,GO:0045211~postsynaptic membrane,
CHRDL1	chordin like 1(CHRDL1)	Homo sapiens	GO:0005576~extracellular region,
