ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
CCL7	C-C motif chemokine ligand 7(CCL7)	Homo sapiens	109.Chemokine_families,			GO:0002548~monocyte chemotaxis,GO:0006874~cellular calcium ion homeostasis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0007010~cytoskeleton organization,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0008360~regulation of cell shape,GO:0010332~response to gamma radiation,GO:0030335~positive regulation of cell migration,GO:0030593~neutrophil chemotaxis,GO:0043547~positive regulation of GTPase activity,GO:0048245~eosinophil chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071361~cellular response to ethanol,GO:2000503~positive regulation of natural killer cell chemotaxis,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,	GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0008201~heparin binding,GO:0031726~CCR1 chemokine receptor binding,GO:0031727~CCR2 chemokine receptor binding,	IPR000827:CC chemokine, conserved site,IPR001811:Chemokine interleukin-8-like domain,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,			SM00199:SCY,	3D-structure,Chemotaxis,Complete proteome,Cytokine,Direct protein sequencing,Disulfide bond,Glycoprotein,Heparin-binding,Inflammatory response,Pyrrolidone carboxylic acid,Reference proteome,Secreted,Signal,	chain:C-C motif chemokine 7,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,modified residue,sequence conflict,signal peptide,strand,turn,
CLMP	CXADR like membrane protein(CLMP)	Homo sapiens				GO:0048565~digestive tract development,	GO:0005881~cytoplasmic microtubule,GO:0005886~plasma membrane,GO:0005923~bicellular tight junction,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,		IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,		615237~Congenital short bowel syndrome,		SM00406:IGv,SM00408:IGc2,SM00409:IG,	Cell junction,Cell membrane,Complete proteome,Disease mutation,Disulfide bond,Glycoprotein,Immunoglobulin domain,Membrane,Polymorphism,Reference proteome,Repeat,Signal,Tight junction,Transmembrane,Transmembrane helix,	chain:Adipocyte adhesion molecule,compositionally biased region:Poly-Glu,compositionally biased region:Ser-rich,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
DDX43	DEAD-box helicase 43(DDX43)	Homo sapiens				GO:0010501~RNA secondary structure unwinding,	GO:0005622~intracellular,	GO:0003723~RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0005524~ATP binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR004087:K Homology domain,IPR004088:K Homology domain, type 1,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00322:KH,SM00487:DEXDc,SM00490:HELICc,	Alternative splicing,ATP-binding,Complete proteome,Helicase,Hydrolase,Nucleotide-binding,Polymorphism,Reference proteome,RNA-binding,	chain:Probable ATP-dependent RNA helicase DDX43,domain:Helicase ATP-binding,domain:Helicase C-terminal,domain:KH,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,short sequence motif:DEAD box,short sequence motif:Q motif,
DIRAS1	DIRAS family GTPase 1(DIRAS1)	Homo sapiens				GO:0007264~small GTPase mediated signal transduction,GO:0043406~positive regulation of MAP kinase activity,	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0016020~membrane,	GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0051019~mitogen-activated protein kinase binding,	IPR001806:Small GTPase superfamily,IPR005225:Small GTP-binding protein domain,IPR020849:Small GTPase superfamily, Ras type,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					3D-structure,Cell membrane,Complete proteome,GTP-binding,Lipoprotein,Membrane,Methylation,Nucleotide-binding,Prenylation,Proteomics identification,Reference proteome,	chain:GTP-binding protein Di-Ras1,helix,lipid moiety-binding region:S-geranylgeranyl cysteine,modified residue,nucleotide phosphate-binding region:GTP,propeptide:Removed in mature form,short sequence motif:Effector region,strand,turn,
DNTT	DNA nucleotidylexotransferase(DNTT)	Homo sapiens				GO:0006259~DNA metabolic process,GO:0006304~DNA modification,GO:0033198~response to ATP,GO:0071897~DNA biosynthetic process,	GO:0000790~nuclear chromatin,GO:0000791~euchromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016363~nuclear matrix,	GO:0003677~DNA binding,GO:0003887~DNA-directed DNA polymerase activity,GO:0003912~DNA nucleotidylexotransferase activity,GO:0005515~protein binding,GO:0016740~transferase activity,GO:0046872~metal ion binding,	IPR001357:BRCT domain,IPR001726:DNA nucleotidylexotransferase (TdT) / DNA-directed DNA/RNA polymerase mu,IPR002054:DNA-directed DNA polymerase X,IPR010996:DNA polymerase beta-like, N-terminal domain,IPR018944:DNA polymerase lambda, fingers domain,IPR019843:DNA polymerase family X, binding site,IPR022312:DNA polymerase family X,IPR027292:DNA nucleotidylexotransferase (TdT),IPR027421:DNA polymerase family X lyase domain,	hsa03450:Non-homologous end-joining,hsa04640:Hematopoietic cell lineage,		PIRSF000817:DNA nucleotidyltransferase,PIRSF501175:DNA nucleotidylexotransferase [Parent=PIRSF000817],	SM00292:BRCT,SM00483:POLXc,	3D-structure,Alternative splicing,Complete proteome,Magnesium,Metal-binding,Nucleotidyltransferase,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,Terminal addition,Transferase,	chain:DNA nucleotidylexotransferase,domain:BRCT,helix,metal ion-binding site:Magnesium,metal ion-binding site:Sodium; via carbonyl oxygen,region of interest:Involved in ssDNA binding,region of interest:Mediates interaction with DNTTIP2,sequence conflict,sequence variant,splice variant,strand,turn,
DNAJC12	DnaJ heat shock protein family (Hsp40) member C12(DNAJC12)	Homo sapiens			Posttranslational modification, protein turnover, chaperones,				IPR001623:DnaJ domain,				SM00271:DnaJ,	3D-structure,Acetylation,Alternative splicing,Chaperone,Coiled coil,Complete proteome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:DnaJ homolog subfamily C member 12,domain:J,helix,sequence variant,splice variant,turn,
ELF5	E74 like ETS transcription factor 5(ELF5)	Homo sapiens				GO:0001712~ectodermal cell fate commitment,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0008283~cell proliferation,GO:0030154~cell differentiation,GO:0035019~somatic stem cell population maintenance,GO:0045596~negative regulation of cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060644~mammary gland epithelial cell differentiation,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0043565~sequence-specific DNA binding,	IPR000418:Ets domain,IPR003118:Pointed domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR013761:Sterile alpha motif/pointed domain,	hsa04917:Prolactin signaling pathway,			SM00251:SAM_PNT,SM00413:ETS,	3D-structure,Activator,Alternative splicing,Complete proteome,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:ETS-related transcription factor Elf-5,DNA-binding region:ETS,domain:PNT,helix,sequence conflict,splice variant,strand,turn,
EHF	ETS homologous factor(EHF)	Homo sapiens				GO:0006366~transcription from RNA polymerase II promoter,GO:0007275~multicellular organism development,GO:0008283~cell proliferation,GO:0030855~epithelial cell differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050673~epithelial cell proliferation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005794~Golgi apparatus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR000418:Ets domain,IPR003118:Pointed domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR013761:Sterile alpha motif/pointed domain,				SM00251:SAM_PNT,SM00413:ETS,	Alternative splicing,Complete proteome,DNA-binding,Nucleus,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:ETS homologous factor,DNA-binding region:ETS,domain:PNT,modified residue,sequence conflict,sequence variant,splice variant,
FRG2C	FSHD region gene 2 family member C(FRG2C)	Homo sapiens					GO:0005634~nucleus,		IPR026245:Protein FRG2,					Complete proteome,Nucleus,Polymorphism,Reference proteome,	chain:Protein FRG2-like-2,sequence variant,
FXYD4	FXYD domain containing ion transport regulator 4(FXYD4)	Homo sapiens				GO:0034220~ion transmembrane transport,GO:0071805~potassium ion transmembrane transport,GO:1903779~regulation of cardiac conduction,GO:2000649~regulation of sodium ion transmembrane transporter activity,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,	GO:0005267~potassium channel activity,GO:0017080~sodium channel regulator activity,GO:0051117~ATPase binding,	IPR000272:Ion-transport regulator, FXYD motif,	hsa04960:Aldosterone-regulated sodium reabsorption,				Complete proteome,Ion channel,Ion transport,Membrane,Reference proteome,Signal,Transmembrane,Transmembrane helix,Transport,	chain:FXYD domain-containing ion transport regulator 4,sequence conflict,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
HEPACAM2	HEPACAM family member 2(HEPACAM2)	Homo sapiens				GO:0007067~mitotic nuclear division,GO:0051297~centrosome organization,GO:0051301~cell division,	GO:0000139~Golgi membrane,GO:0005794~Golgi apparatus,GO:0005813~centrosome,GO:0005819~spindle,GO:0016021~integral component of membrane,GO:0030496~midbody,	GO:0005515~protein binding,	IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				SM00408:IGc2,SM00409:IG,	ADP-ribosylation,Alternative splicing,Cell cycle,Cell division,Complete proteome,Cytoplasm,Cytoskeleton,Disulfide bond,Glycoprotein,Golgi apparatus,Immunoglobulin domain,Membrane,Mitosis,Polymorphism,Proteomics identification,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:HEPACAM family member 2,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
L1CAM	L1 cell adhesion molecule(L1CAM)	Homo sapiens		h_ephA4Pathway:Eph Kinases and ephrins support platelet aggregation,		GO:0006935~chemotaxis,GO:0007155~cell adhesion,GO:0007399~nervous system development,GO:0007411~axon guidance,GO:0045773~positive regulation of axon extension,GO:0050900~leukocyte migration,	GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0044295~axonal growth cone,		IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013783:Immunoglobulin-like fold,IPR026966:Fibronectin type III C-terminal domain,	hsa04360:Axon guidance,hsa04514:Cell adhesion molecules (CAMs),	303350~CRASH syndrome,303350~MASA syndrome,304100~Corpus callosum, partial agenesis of,307000~Hydrocephalus due to aqueductal stenosis,307000~Hydrocephalus with congenital idiopathic intestinal pseudoobstruction,307000~Hydrocephalus with Hirschsprung disease,		SM00060:FN3,SM00408:IGc2,SM00409:IG,	Alternative splicing,Cell adhesion,Cell membrane,Cell projection,Complete proteome,Developmental protein,Differentiation,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Hereditary spastic paraplegia,Hirschsprung disease,Immunoglobulin domain,Membrane,Mental retardation,Neurodegeneration,Neurogenesis,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Neural cell adhesion molecule L1,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Fibronectin type-III 5,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like C2-type 4,domain:Ig-like C2-type 5,domain:Ig-like C2-type 6,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
